Run	GEO_Accession	Patient_ID	Accession	Title
SRR1294868	GSM1395775	MGH29	GSM1395775	MGH29_H05
SRR1294869	GSM1395776	MGH29	GSM1395776	MGH29_H06
SRR1294870	GSM1395777	MGH29	GSM1395777	MGH29_H07
SRR1294871	GSM1395778	MGH29	GSM1395778	MGH29_H08
SRR1294872	GSM1395779	MGH29	GSM1395779	MGH29_H09
SRR1294873	GSM1395780	MGH29	GSM1395780	MGH29_H10
SRR1294874	GSM1395781	MGH29	GSM1395781	MGH29_H11
SRR1294875	GSM1395782	MGH29	GSM1395782	MGH29_H12
SRR1294876	GSM1395783	MGH30	GSM1395783	MGH30_A01
SRR1294877	GSM1395784	MGH30	GSM1395784	MGH30_A02
SRR1294878	GSM1395785	MGH30	GSM1395785	MGH30_A03
SRR1294879	GSM1395786	MGH30	GSM1395786	MGH30_A04
SRR1294880	GSM1395787	MGH30	GSM1395787	MGH30_A05
SRR1294881	GSM1395788	MGH30	GSM1395788	MGH30_A06
SRR1294882	GSM1395789	MGH30	GSM1395789	MGH30_A07
SRR1294883	GSM1395790	MGH30	GSM1395790	MGH30_A08
SRR1294884	GSM1395791	MGH30	GSM1395791	MGH30_A09
SRR1294885	GSM1395792	MGH30	GSM1395792	MGH30_A10
SRR1294886	GSM1395793	MGH30	GSM1395793	MGH30_A11
SRR1294887	GSM1395794	MGH30	GSM1395794	MGH30_A12
SRR1294888	GSM1395795	MGH30	GSM1395795	MGH30_B01
SRR1294889	GSM1395796	MGH30	GSM1395796	MGH30_B02
SRR1294890	GSM1395797	MGH30	GSM1395797	MGH30_B03
SRR1294891	GSM1395798	MGH30	GSM1395798	MGH30_B04
SRR1294892	GSM1395799	MGH30	GSM1395799	MGH30_B05
